================ Training Loss (Tue May 19 16:17:38 2020) ================
(epoch: 1, iters: 700, time: 0.002, data: 3.679) total_loss: 1.401 classification_loss: 0.685 confidence_loss: 0.716
(epoch: 1, iters: 1400, time: 0.002, data: 5.712) total_loss: 1.257 classification_loss: 0.633 confidence_loss: 0.624
(epoch: 1, iters: 2100, time: 0.002, data: 0.000) total_loss: 1.149 classification_loss: 0.603 confidence_loss: 0.546
(epoch: 1, iters: 2800, time: 0.001, data: 0.249) total_loss: 1.109 classification_loss: 0.630 confidence_loss: 0.479
(epoch: 1, iters: 3500, time: 0.002, data: 0.000) total_loss: 1.020 classification_loss: 0.600 confidence_loss: 0.420
(epoch: 1, iters: 4200, time: 0.002, data: 0.008) total_loss: 0.977 classification_loss: 0.617 confidence_loss: 0.361
(epoch: 1, iters: 4900, time: 0.002, data: 7.363) total_loss: 0.926 classification_loss: 0.623 confidence_loss: 0.303
(epoch: 1, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.826 classification_loss: 0.561 confidence_loss: 0.265
(epoch: 1, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.836 classification_loss: 0.615 confidence_loss: 0.221
(epoch: 2, iters: 700, time: 0.002, data: 6.908) total_loss: 0.759 classification_loss: 0.560 confidence_loss: 0.199
(epoch: 2, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.769 classification_loss: 0.600 confidence_loss: 0.169
(epoch: 2, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.780 classification_loss: 0.631 confidence_loss: 0.149
(epoch: 2, iters: 2800, time: 0.002, data: 4.733) total_loss: 0.730 classification_loss: 0.606 confidence_loss: 0.123
(epoch: 2, iters: 3500, time: 0.002, data: 0.000) total_loss: 0.722 classification_loss: 0.614 confidence_loss: 0.108
(epoch: 2, iters: 4200, time: 0.002, data: 6.719) total_loss: 0.683 classification_loss: 0.590 confidence_loss: 0.093
(epoch: 2, iters: 4900, time: 0.002, data: 0.000) total_loss: 0.665 classification_loss: 0.582 confidence_loss: 0.083
(epoch: 2, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.661 classification_loss: 0.580 confidence_loss: 0.081
(epoch: 2, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.642 classification_loss: 0.583 confidence_loss: 0.059
(epoch: 3, iters: 700, time: 0.002, data: 10.339) total_loss: 0.674 classification_loss: 0.622 confidence_loss: 0.052
(epoch: 3, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.660 classification_loss: 0.608 confidence_loss: 0.052
(epoch: 3, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.643 classification_loss: 0.591 confidence_loss: 0.052
(epoch: 3, iters: 2800, time: 0.002, data: 0.000) total_loss: 0.588 classification_loss: 0.544 confidence_loss: 0.043
(epoch: 3, iters: 3500, time: 0.002, data: 0.000) total_loss: 0.652 classification_loss: 0.617 confidence_loss: 0.035
(epoch: 3, iters: 4200, time: 0.002, data: 13.777) total_loss: 0.625 classification_loss: 0.589 confidence_loss: 0.036
(epoch: 3, iters: 4900, time: 0.002, data: 0.000) total_loss: 0.592 classification_loss: 0.558 confidence_loss: 0.034
(epoch: 3, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.578 classification_loss: 0.548 confidence_loss: 0.030
(epoch: 3, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.603 classification_loss: 0.576 confidence_loss: 0.027
